,Alloy System,Composition_Formula,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References,Class
142,AlCoCrFeNi,Al0.9CoCrFeNi,AC,SS+IM,BCC+B2,5,2,H,[46],3d_Transition_Metal_Alloy_Family
143,AlCoCrFeNi,AlCoCrFeNi,AC,SS,B2,5,1,M,[52],3d_Transition_Metal_Alloy_Family
144,AlCoCrFeNi,AlCoCrFeNi2.1,AC,SS+IM,FCC+B2,5,2,"DSC, MT",[60],3d_Transition_Metal_Alloy_Family
145,AlCoCrFeNi,AlCoCr2FeNi,AC,IM,B2+L12,5,2,"DSC, MT",[54],3d_Transition_Metal_Alloy_Family
146,AlCoCrFeNi,Al1.2CoCrFeNi,AC,SS+IM,BCC+B2,5,2,H,[46],3d_Transition_Metal_Alloy_Family
147,AlCoCrFeNi,Al1.25CoCrFeNi,AC+1100C/24h/WQ,SS+IM,B2,5,1,"CTE, D, R",[48],3d_Transition_Metal_Alloy_Family
148,AlCoCrFeNi,Al1.5CoCrFeNi,AC,SS+IM,B2,5,1,H,[54],3d_Transition_Metal_Alloy_Family
149,AlCoCrFeNi,Al1.8CoCrFeNi,AC,SS+IM,BCC+B2,5,2,H,[46],3d_Transition_Metal_Alloy_Family
150,AlCoCrFeNi,Al2CoCrFeNi,AC,SS+IM,B2,5,1,H,[54],3d_Transition_Metal_Alloy_Family
151,AlCoCrFeNi,Al2.08CoCrFeNi,AC,SS+IM,BCC+B2,5,2,R,[61],3d_Transition_Metal_Alloy_Family
152,AlCoCrFeNi,Al2.5CoCrFeNi,AC,SS+IM,B2,5,1,R,[54],3d_Transition_Metal_Alloy_Family
153,AlCoCrFeNi,Al3CoCrFeNi,AC,IM,B2,5,1,"H, D",[54],3d_Transition_Metal_Alloy_Family
154,AlCoCrFeNiSi,AlCoCrFeNiSi0.2,AC,SS,BCC,6,1,M,[57],3d_Transition_Metal_Alloy_Family
155,AlCoCrFeNiSi,AlCoCrFeNiSi0.4,AC,SS,2BCC,6,2,M,[57],3d_Transition_Metal_Alloy_Family
156,AlCoCrFeNiSi,AlCoCrFeNiSi0.6,AC,SS+IM,2BCC+IM,6,3,M,[57],3d_Transition_Metal_Alloy_Family
157,AlCoCrFeNiSi,AlCoCrFeNiSi0.8,AC,SS+IM,2BCC+IM,6,3,M,[57],3d_Transition_Metal_Alloy_Family
158,AlCoCrFeNiSi,AlCoCrFeNiSi,AC,SS+IM,2BCC+IM,6,3,M,[57],3d_Transition_Metal_Alloy_Family
159,AlCoCrFeNiTi,Al0.2Co1.5CrFeNi1.5Ti0.5,AC+1100C/4h/AC+800C/10h/AC,SS,FCC,6,1,"H, W",[62],3d_Transition_Metal_Alloy_Family
160,AlCoCrFeNiTi,Al0.2Co1.5CrFeNi1.5Ti,AC+1100C/4h/AC+800C/10h/AC,SS+IM,FCC+D024,6,2,"H, W",[62],3d_Transition_Metal_Alloy_Family
161,AlCoCrFeNiTi,Al0.3CoCrFeNiTi0.1,AC,SS,FCC,6,1,H,[39],3d_Transition_Metal_Alloy_Family
162,AlCoCrFeNiTi,Al0.5CoCrFeNiTi,AC,SS+IM,BCC+B2+C14,6,3,M,[63],3d_Transition_Metal_Alloy_Family
163,AlCoCrFeNiTi,Al0.6CoCrFeNiTi0.4,MA+SPS,SS,2FCC+D022,6,3,"DSC, H, M",[65],3d_Transition_Metal_Alloy_Family
