Alloy System,Composition_Formula,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References,Class
,AlCo1.5CrFeMo0.5Ni,AC,SS+IM,BCC+B2+σ,6,3,H,[40],3d_Transition_Metal_Alloy_Family
,AlCo2CrFeMo0.5Ni,AC,SS+IM,BCC+FCC+σ,6,3,H,[40],3d_Transition_Metal_Alloy_Family
AlCoCrFeNbNi,AlCoCrFeNb0.1Ni,AC,SS+IM,BCC+C14,6,2,"H, M, MAG",[44],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC,6,1,"M, MAG",[45],3d_Transition_Metal_Alloy_Family
,AlCoCrFeNb0.25Ni,AC,SS+IM,BCC+C14,6,2,"H, M, MAG",[44],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+C14,6,2,"M, MAG",[45],3d_Transition_Metal_Alloy_Family
,AlCoCrFeNb0.5Ni,AC,SS+IM,BCC+C14,6,2,"H, M, MAG",[44],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+C14,6,2,"M, MAG",[45],3d_Transition_Metal_Alloy_Family
,AlCoCrFeNb0.75Ni,AC,SS+IM,BCC+C14,6,2,"H, M, MAG",[44],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+C14,6,2,"M, MAG",[45],3d_Transition_Metal_Alloy_Family
AlCoCrFeNi,Al0.1CoCrFeNi,AC,SS,FCC,5,1,H,[46],3d_Transition_Metal_Alloy_Family
,Al0.25CoCrFeNi,AC,SS,FCC,5,1,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS,FCC,5,1,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ+CR(50%),SS,FCC,5,1,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS,FCC,5,1,"CTE, D, R",[48],3d_Transition_Metal_Alloy_Family
,Al0.3CoCrFeNi,AC,SS+IM,FCC+L12,5,2,MT,[49],3d_Transition_Metal_Alloy_Family
,,AC+700C/72h/WQ,SS+IM,FCC+L12,5,2,MT,[49],3d_Transition_Metal_Alloy_Family
,,AC+900C/72h/WQ,SS+IM,FCC+B2,5,2,MT,[49],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,FCC+L12,5,2,,[38],3d_Transition_Metal_Alloy_Family
,,AC,SS,FCC,5,1,H,[39],3d_Transition_Metal_Alloy_Family
,,AC+700C/144h/WQ,SS+IM,FCC+B2,5,2,H,[39],3d_Transition_Metal_Alloy_Family
,,AC,SS,FCC,5,1,H,[46],3d_Transition_Metal_Alloy_Family
,,AC+700C/20h,SS,FCC,5,1,H,[37],3d_Transition_Metal_Alloy_Family
,Al0.3CoCr2FeNi,AC+700C/20h,SS+IM,BCC+FCC+σ,5,3,H,[37],3d_Transition_Metal_Alloy_Family
,Al0.375CoCrFeNi,AC,SS,FCC,5,1,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS,FCC,5,1,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ+CR(50%),SS,FCC,5,1,H,[47],3d_Transition_Metal_Alloy_Family
,,AC+1100C/24h/WQ,SS,FCC,5,1,"CTE, D, R",[48],3d_Transition_Metal_Alloy_Family
,Al0.4CoCrFeNi,AC,SS,FCC,5,1,H,[46],3d_Transition_Metal_Alloy_Family
,Al0.44CoCrFeNi,AC,SS+IM,FCC+B2+Unk,5,3,OX,[50],3d_Transition_Metal_Alloy_Family
