,Composition_Formula,GBTPredict
751,AlCrCoCu,2.0
752,AlCrCoZn,1.0
753,AlCrCoZr,2.0
754,AlCrCoNb,2.0
755,AlCrCoMo,2.0
756,AlCrCoPd,2.0
757,AlCrCoHf,1.0
758,AlCrCoTa,1.0
759,AlCrNiCu,2.0
760,AlCrNiZn,2.0
761,AlCrNiZr,2.0
762,AlCrNiNb,2.0
763,AlCrNiMo,2.0
764,AlCrNiPd,2.0
765,AlCrNiHf,1.0
766,AlCrNiTa,1.0
767,AlCrCuZn,2.0
768,AlCrCuZr,2.0
769,AlCrCuNb,2.0
770,AlCrCuMo,2.0
771,AlCrCuPd,2.0
772,AlCrCuHf,2.0
773,AlCrCuTa,1.0
774,AlCrZnZr,2.0
775,AlCrZnNb,2.0
776,AlCrZnMo,2.0
777,AlCrZnPd,1.0
778,AlCrZnHf,1.0
779,AlCrZnTa,1.0
780,AlCrZrNb,2.0
781,AlCrZrMo,2.0
782,AlCrZrPd,2.0
783,AlCrZrHf,1.0
784,AlCrZrTa,1.0
785,AlCrNbMo,1.0
786,AlCrNbPd,2.0
787,AlCrNbHf,1.0
788,AlCrNbTa,1.0
789,AlCrMoPd,2.0
790,AlCrMoHf,1.0
791,AlCrMoTa,1.0
792,AlCrPdHf,1.0
793,AlCrPdTa,1.0
794,AlCrHfTa,1.0
795,AlMnFeCo,1.0
796,AlMnFeNi,2.0
797,AlMnFeCu,2.0
798,AlMnFeZn,2.0
799,AlMnFeZr,2.0
800,AlMnFeNb,1.0
801,AlMnFeMo,2.0
802,AlMnFePd,2.0
803,AlMnFeHf,1.0
804,AlMnFeTa,1.0
805,AlMnCoNi,1.0
806,AlMnCoCu,1.0
807,AlMnCoZn,1.0
808,AlMnCoZr,2.0
809,AlMnCoNb,2.0
810,AlMnCoMo,2.0
811,AlMnCoPd,2.0
812,AlMnCoHf,1.0
813,AlMnCoTa,1.0
814,AlMnNiCu,2.0
815,AlMnNiZn,2.0
816,AlMnNiZr,2.0
817,AlMnNiNb,2.0
818,AlMnNiMo,2.0
819,AlMnNiPd,2.0
820,AlMnNiHf,1.0
821,AlMnNiTa,1.0
822,AlMnCuZn,1.0
823,AlMnCuZr,2.0
824,AlMnCuNb,2.0
825,AlMnCuMo,2.0
826,AlMnCuPd,2.0
827,AlMnCuHf,1.0
828,AlMnCuTa,1.0
829,AlMnZnZr,2.0
830,AlMnZnNb,2.0
831,AlMnZnMo,2.0
832,AlMnZnPd,2.0
833,AlMnZnHf,1.0
834,AlMnZnTa,2.0
835,AlMnZrNb,1.0
836,AlMnZrMo,2.0
837,AlMnZrPd,2.0
838,AlMnZrHf,1.0
839,AlMnZrTa,1.0
840,AlMnNbMo,2.0
841,AlMnNbPd,2.0
842,AlMnNbHf,1.0
843,AlMnNbTa,1.0
844,AlMnMoPd,2.0
845,AlMnMoHf,1.0
846,AlMnMoTa,1.0
847,AlMnPdHf,1.0
848,AlMnPdTa,1.0
849,AlMnHfTa,1.0
850,AlFeCoNi,0.0
851,AlFeCoCu,1.0
852,AlFeCoZn,1.0
853,AlFeCoZr,2.0
854,AlFeCoNb,2.0
855,AlFeCoMo,0.0
856,AlFeCoPd,2.0
857,AlFeCoHf,1.0
858,AlFeCoTa,1.0
859,AlFeNiCu,2.0
860,AlFeNiZn,2.0
861,AlFeNiZr,2.0
862,AlFeNiNb,2.0
863,AlFeNiMo,2.0
864,AlFeNiPd,2.0
865,AlFeNiHf,1.0
866,AlFeNiTa,1.0
867,AlFeCuZn,2.0
868,AlFeCuZr,2.0
869,AlFeCuNb,2.0
870,AlFeCuMo,2.0
871,AlFeCuPd,2.0
872,AlFeCuHf,1.0
873,AlFeCuTa,1.0
874,AlFeZnZr,2.0
875,AlFeZnNb,2.0
876,AlFeZnMo,2.0
877,AlFeZnPd,1.0
878,AlFeZnHf,2.0
879,AlFeZnTa,2.0
880,AlFeZrNb,2.0
881,AlFeZrMo,2.0
882,AlFeZrPd,2.0
883,AlFeZrHf,1.0
884,AlFeZrTa,1.0
885,AlFeNbMo,2.0
886,AlFeNbPd,2.0
887,AlFeNbHf,1.0
888,AlFeNbTa,1.0
889,AlFeMoPd,2.0
890,AlFeMoHf,1.0
891,AlFeMoTa,1.0
892,AlFePdHf,1.0
893,AlFePdTa,1.0
894,AlFeHfTa,1.0
895,AlCoNiCu,1.0
896,AlCoNiZn,1.0
897,AlCoNiZr,2.0
898,AlCoNiNb,2.0
899,AlCoNiMo,2.0
900,AlCoNiPd,2.0
901,AlCoNiHf,1.0
902,AlCoNiTa,1.0
903,AlCoCuZn,1.0
904,AlCoCuZr,2.0
905,AlCoCuNb,2.0
906,AlCoCuMo,2.0
907,AlCoCuPd,2.0
908,AlCoCuHf,2.0
909,AlCoCuTa,1.0
910,AlCoZnZr,2.0
911,AlCoZnNb,2.0
912,AlCoZnMo,2.0
913,AlCoZnPd,2.0
914,AlCoZnHf,1.0
915,AlCoZnTa,1.0
916,AlCoZrNb,2.0
917,AlCoZrMo,2.0
918,AlCoZrPd,2.0
919,AlCoZrHf,1.0
920,AlCoZrTa,1.0
921,AlCoNbMo,2.0
922,AlCoNbPd,2.0
923,AlCoNbHf,1.0
924,AlCoNbTa,1.0
925,AlCoMoPd,2.0
926,AlCoMoHf,1.0
927,AlCoMoTa,1.0
928,AlCoPdHf,1.0
929,AlCoPdTa,1.0
930,AlCoHfTa,1.0
931,AlNiCuZn,1.0
932,AlNiCuZr,2.0
933,AlNiCuNb,2.0
934,AlNiCuMo,2.0
935,AlNiCuPd,2.0
936,AlNiCuHf,2.0
937,AlNiCuTa,1.0
938,AlNiZnZr,2.0
939,AlNiZnNb,2.0
